study_id,series_id,phase,status,nc_n_kabsch_organs,mov_n_kabsch_organs,common_kabsch_organs,common_bone_organs,common_anchor_organs,nc_det,mov_det,det_sign_match,z_offset_mean_mm,z_offset_std_mm,xy_mean_mm,xy_max_mm,mean_centroid_3d,seg_path,flags
1.2.392.200036.9116.2.5.1.37.2418751871.1574736893.449879,1.2.392.200036.9116.2.5.1.37.2418751871.1574737469.513228,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-6.7,2.2,52.5,54.8,52.9,,LARGE_XY_RESIDUAL=52.5mm | LARGE_CENTROID_DIST: liver=50.2mm | spleen=51.5mm | kidney_L=54.3mm | kidney_R=55.7mm | pancreas=57.0mm | gallbladder=52.2mm | aorta=49.4mm | IVC=63.0mm | L1=50.5mm | L2=50.2mm | L3=50.8mm | spinal_cord=50.1mm
1.2.840.113619.2.278.3.717616.166.1580339212.908,1.2.840.113619.2.278.3.717616.166.1580339213.59.5246977,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-3.7,1.3,5.9,7.1,8.4,,LARGE_CENTROID_DIST: IVC=28.7mm
1.2.840.113619.2.278.3.717616.166.1580339212.908,1.2.840.113619.2.278.3.717616.166.1580339213.59.5251074,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-3.0,2.6,7.7,9.4,9.4,,LARGE_CENTROID_DIST: IVC=16.4mm
1.2.840.113619.2.278.3.717616.166.1580339213.591,1.2.840.113619.2.278.3.717616.166.1580339213.696.4202498,Venous,OK,11.0,11.0,11.0,4.0,4.0,1.0,1.0,True,-2.4,0.9,1.4,2.7,2.6,,
1.2.840.113619.2.278.3.717616.166.1580339218.937,1.2.840.113619.2.278.3.717616.166.1580339219.79.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-3.1,0.4,3.6,5.2,5.4,,
1.2.840.113619.2.278.3.717616.166.1580339218.937,1.2.840.113619.2.278.3.717616.166.1580339219.79.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-9.4,1.9,20.8,21.5,24.3,,LARGE_CENTROID_DIST: liver=22.5mm | spleen=21.2mm | kidney_L=24.4mm | kidney_R=23.3mm | pancreas=22.8mm | gallbladder=24.8mm | aorta=26.8mm | IVC=24.3mm | L1=25.6mm | L2=24.5mm | L3=25.7mm | spinal_cord=26.2mm
1.2.840.113619.2.278.3.717616.166.1580339223.519,1.2.840.113619.2.278.3.717616.166.1580339223.616.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,0.6,0.5,2.4,2.8,3.1,,
1.2.840.113619.2.278.3.717616.166.1580339223.519,1.2.840.113619.2.278.3.717616.166.1580339223.616.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,1.5,0.6,0.8,1.7,1.9,,
1.2.840.113619.2.278.3.717616.166.1580339223.956,1.2.840.113619.2.278.3.717616.166.1580339224.53.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.7,1.8,5.8,8.1,8.2,,LARGE_CENTROID_DIST: IVC=17.8mm
1.2.840.113619.2.278.3.717616.166.1580339223.956,1.2.840.113619.2.278.3.717616.166.1580339224.53.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,5.2,4.0,4.9,6.7,9.2,,LARGE_CENTROID_DIST: IVC=19.2mm
1.2.840.113619.2.278.3.717616.166.1580339224.657,1.2.840.113619.2.278.3.717616.166.1580339224.754.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.5,1.0,3.1,3.7,4.1,,
1.2.840.113619.2.278.3.717616.166.1580339224.657,1.2.840.113619.2.278.3.717616.166.1580339224.754.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.1,1.5,2.8,3.1,3.7,,
1.2.840.113619.2.278.3.717616.166.1580339230.481,1.2.840.113619.2.278.3.717616.166.1580339230.573.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,1.0,0.5,2.6,4.0,2.9,,
1.2.840.113619.2.278.3.717616.166.1580339230.481,1.2.840.113619.2.278.3.717616.166.1580339230.573.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,0.6,0.5,2.2,3.0,2.8,,
1.2.840.113619.2.278.3.717616.202.1592287869.821,1.2.840.113619.2.278.3.717616.202.1592287869.941.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.3,0.6,2.6,5.1,3.3,,
1.2.840.113619.2.278.3.717616.202.1592287869.821,1.2.840.113619.2.278.3.717616.202.1592287869.941.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.9,0.5,1.8,2.4,3.4,,
1.2.840.113619.2.278.3.717616.202.1592287871.359,1.2.840.113619.2.278.3.717616.202.1592287871.456.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.6,1.3,2.4,2.9,4.6,,
1.2.840.113619.2.278.3.717616.202.1592287871.359,1.2.840.113619.2.278.3.717616.202.1592287871.456.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.0,3.0,5.0,10.4,5.8,,LARGE_CENTROID_DIST: IVC=19.9mm
1.2.840.113619.2.278.3.717616.202.1592287875.688,1.2.840.113619.2.278.3.717616.202.1592287875.783.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-3.1,0.8,3.3,3.4,4.5,,
1.2.840.113619.2.278.3.717616.202.1592287875.688,1.2.840.113619.2.278.3.717616.202.1592287875.783.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,0.5,1.0,2.2,2.8,3.8,,
1.2.840.113619.2.278.3.717616.202.1592287876.601,1.2.840.113619.2.278.3.717616.202.1592287876.703.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.0,2.7,4.6,5.3,5.7,,
1.2.840.113619.2.278.3.717616.202.1592287876.601,1.2.840.113619.2.278.3.717616.202.1592287876.703.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-5.9,1.8,4.6,6.3,8.2,,LARGE_CENTROID_DIST: IVC=15.8mm
1.2.840.113619.2.278.3.717616.202.1592287879.955,1.2.840.113619.2.278.3.717616.202.1592287880.80.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,5.1,1.4,5.6,6.8,9.7,,LARGE_CENTROID_DIST: aorta=35.8mm
1.2.840.113619.2.278.3.717616.202.1592287879.955,1.2.840.113619.2.278.3.717616.202.1592287880.80.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,6.4,1.6,10.0,11.0,14.1,,LARGE_CENTROID_DIST: aorta=37.6mm | spinal_cord=17.3mm
1.2.840.113619.2.278.3.717616.202.1592287881.707,1.2.840.113619.2.278.3.717616.202.1592287881.832.4198401,Arterial,OK,11.0,11.0,11.0,4.0,4.0,1.0,1.0,True,3.0,1.2,4.6,5.1,6.3,,
1.2.840.113619.2.278.3.717616.202.1592287881.707,1.2.840.113619.2.278.3.717616.202.1592287881.832.4202498,Venous,OK,11.0,11.0,11.0,4.0,4.0,1.0,1.0,True,4.0,2.3,2.6,4.7,5.2,,
1.2.840.113619.2.278.3.717616.204.1584947859.517,1.2.840.113619.2.278.3.717616.204.1584947859.604.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,1.7,0.2,1.5,2.0,2.6,,
1.2.840.113619.2.278.3.717616.204.1584947859.517,1.2.840.113619.2.278.3.717616.204.1584947859.604.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,2.4,0.5,2.5,3.3,4.1,,
1.2.840.113619.2.278.3.717616.204.1584947875.688,1.2.840.113619.2.278.3.717616.204.1584947875.778.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.6,0.9,3.4,4.4,4.7,,
