study_id,series_id,phase,status,nc_n_kabsch_organs,mov_n_kabsch_organs,common_kabsch_organs,common_bone_organs,common_anchor_organs,nc_det,mov_det,det_sign_match,z_offset_mean_mm,z_offset_std_mm,xy_mean_mm,xy_max_mm,mean_centroid_3d,seg_path,flags
1.2.840.113619.2.278.3.717616.286.1587944966.506,1.2.840.113619.2.278.3.717616.286.1587944966.605.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,11.3,5.4,5.5,8.7,10.8,,LARGE_CENTROID_DIST: liver=19.6mm | spleen=16.6mm | IVC=23.0mm | L3=17.7mm
1.2.840.113619.2.278.3.717616.286.1587944967.557,1.2.840.113619.2.278.3.717616.286.1587944967.658.4198401,Arterial,BAD,11.0,11.0,11.0,4.0,4.0,1.0,1.0,True,-13.6,4.2,5.0,9.2,15.5,,LARGE_CENTROID_DIST: liver=16.3mm | kidney_R=19.1mm | L1=22.6mm | L2=22.8mm | L3=22.4mm
1.2.840.113619.2.278.3.717616.286.1587944967.557,1.2.840.113619.2.278.3.717616.286.1587944967.658.4202498,Venous,BAD,11.0,11.0,11.0,4.0,4.0,1.0,1.0,True,-13.3,2.3,3.1,5.7,13.6,,LARGE_CENTROID_DIST: kidney_R=16.5mm | L1=17.9mm | L2=17.9mm | L3=18.0mm
1.2.840.113619.2.278.3.717616.286.1587944968.878,1.2.840.113619.2.278.3.717616.286.1587944968.981.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,14.7,1.6,2.6,4.7,11.1,,LARGE_CENTROID_DIST: liver=15.9mm | spleen=16.7mm | gallbladder=17.0mm
1.2.840.113619.2.278.3.717616.286.1587944968.878,1.2.840.113619.2.278.3.717616.286.1587944968.981.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,14.6,1.7,3.5,5.5,10.2,,LARGE_CENTROID_DIST: spleen=18.1mm | kidney_R=15.6mm | gallbladder=15.7mm
1.2.840.113619.2.278.3.717616.286.1587944973.161,1.2.840.113619.2.278.3.717616.286.1587944973.290.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,7.0,1.1,2.7,4.3,5.5,,
1.2.840.113619.2.278.3.717616.286.1587944973.161,1.2.840.113619.2.278.3.717616.286.1587944973.290.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,7.8,2.1,4.7,7.8,6.0,,
1.2.840.113619.2.278.3.717616.286.1587944975.372,1.2.840.113619.2.278.3.717616.286.1587944975.500.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.3,4.4,2.7,3.7,5.5,,
1.2.840.113619.2.278.3.717616.286.1587944975.372,1.2.840.113619.2.278.3.717616.286.1587944975.500.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-9.4,2.7,1.3,2.8,9.8,,LARGE_CENTROID_DIST: gallbladder=15.6mm
1.2.840.113619.2.278.3.717616.286.1587944978.330,1.2.840.113619.2.278.3.717616.286.1587944978.417.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-20.6,4.7,6.1,9.9,25.1,,LARGE_CENTROID_DIST: liver=23.9mm | spleen=26.9mm | kidney_L=18.3mm | kidney_R=18.7mm | pancreas=28.8mm | gallbladder=31.3mm | aorta=15.2mm | L1=36.5mm | L2=36.5mm | L3=36.5mm | spinal_cord=21.7mm
